,Genre_ID,Top Genre
0,0,adult standards
1,1,album rock
2,2,alternative hip hop
3,3,alternative metal
4,4,classic rock
5,5,alternative pop rock
6,6,pop
7,7,modern rock
9,8,detroit hip hop
11,9,alternative rock
12,10,dutch indie
14,11,garage rock
15,12,dutch cabaret
16,13,permanent wave
18,14,classic uk pop
19,15,dance pop
21,16,modern folk rock
22,17,dutch pop
25,18,dutch americana
26,19,alternative dance
28,20,german pop
29,21,afropop
32,22,british soul
37,23,irish rock
40,24,disco
41,25,big room
46,26,art rock
49,27,danish pop rock
52,28,neo mellow
55,29,britpop
58,30,boy band
60,31,carnaval limburg
61,32,arkansas country
63,33,latin alternative
72,34,british folk
73,35,celtic
76,36,chanson
91,37,celtic rock
105,38,hip pop
106,39,east coast hip hop
107,40,dutch rock
115,41,blues rock
117,42,electro
121,43,australian pop
128,44,belgian rock
130,45,downtempo
143,46,reggae fusion
148,47,british invasion
151,48,finnish metal
152,49,canadian pop
170,50,bow pop
175,51,dutch hip hop
177,52,dutch metal
181,53,soft rock
182,54,acoustic pop
184,55,acid jazz
187,56,dutch prog
191,57,candy pop
199,58,operatic pop
201,59,trance
240,60,scottish singer-songwriter
241,61,mellow gold
243,62,alternative pop
274,63,dance rock
279,64,atl hip hop
298,65,eurodance
299,66,blues
308,67,canadian folk
309,68,big beat
324,69,art pop
347,70,uk pop
349,71,glam metal
397,72,brill building pop
399,73,g funk
405,74,happy hardcore
412,75,belgian pop
416,76,classic schlager
423,77,contemporary country
424,78,barbadian pop
429,79,gabba
431,80,chamber pop
460,81,british singer-songwriter
461,82,indie pop
474,83,australian rock
475,84,nederpop
512,85,australian indie folk
518,86,folk-pop
519,87,electropop
528,88,edm
535,89,metropopolis
540,90,irish pop
545,91,electronica
556,92,alaska indie
566,93,irish singer-songwriter
579,94,stomp and holler
611,95,australian dance
615,96,australian psych
633,97,laboratorio
638,98,contemporary vocal jazz
639,99,rock-and-roll
648,100,glam rock
662,101,classic soundtrack
677,102,icelandic indie
678,103,danish pop
679,104,compositional ambient
689,105,neo soul
690,106,streektaal
713,107,italian pop
723,108,indie anthem-folk
725,109,la pop
745,110,baroque pop
749,111,ccm
755,112,electro house
767,113,austropop
768,114,australian americana
797,115,latin
835,116,chicago soul
848,117,classic soul
903,118,bubblegum pop
941,119,classic country pop
944,120,europop
955,121,hard rock
968,122,reggae
988,123,j-core
994,124,funk
1018,125,folk
1072,126,punk
1151,127,basshall
1248,128,australian alternative rock
1287,129,yacht rock
1412,130,alternative country
1452,131,celtic punk
1461,132,new wave pop
1485,133,classic canadian rock
1497,134,christelijk
1535,135,levenslied
1575,136,cyberpunk
1589,137,gangster rap
1599,138,diva house
1617,139,classical rock
1651,140,canadian rock
1670,141,german pop rock
1671,142,british alternative rock
1730,143,latin jazz
1761,144,german alternative rock
1817,145,classic italian pop
1820,146,pop punk
1880,147,motown
1992,148,bebop
