Top_Genre, Song_Count
album rock,413
adult standards,123
dutch pop,88
alternative rock,86
dance pop,83
dutch indie,75
alternative metal,70
dance rock,52
classic rock,51
dutch cabaret,51
glam rock,49
modern rock,49
pop,47
art rock,40
permanent wave,38
british invasion,36
irish rock,34
british soul,31
europop,27
classic uk pop,22
disco,18
dutch rock,18
glam metal,17
neo mellow,17
blues rock,15
alternative dance,15
art pop,14
dutch hip hop,13
funk,13
dutch americana,12
classic soul,11
big beat,11
britpop,11
mellow gold,11
carnaval limburg,10
chanson,9
arkansas country,9
german pop,9
folk,8
reggae,8
blues,8
australian pop,8
belgian rock,8
chamber pop,7
canadian folk,7
electro,7
alternative pop rock,7
modern folk rock,7
big room,7
celtic rock,7
